PRIMARY_COLLEGE,PRIMARY_COLLEGE_DESC,PRIMARY_DEPARTMENT_DESC,PRIMARY_MAJOR_DESC,TERM,GENDER
EG,Walter Scott College of Engr,Mechanical Engineering,Mechanical Engineering,201910,M
EG,Walter Scott College of Engr,Walter Scott College of Engr,Biomedical Engineering with ME,201890,F
EG,Walter Scott College of Engr,Walter Scott College of Engr,Biomedical Engineering with ME,201910,F
EG,Walter Scott College of Engr,Mechanical Engineering,Mechanical Engineering,201890,M
EG,Walter Scott College of Engr,Mechanical Engineering,Mechanical Engineering,201910,M
EG,Walter Scott College of Engr,Chemical and Biological Engr,Chemical & Biological Engineer,201890,M
EG,Walter Scott College of Engr,Mechanical Engineering,Mechanical Engineering,201890,M
EG,Walter Scott College of Engr,Mechanical Engineering,Mechanical Engineering,201910,M
NS,Natural Sciences,Biochemistry & Molecular Biol,Biochemistry,201910,F
NS,Natural Sciences,Computer Science,Computer Science,201890,M
EG,Walter Scott College of Engr,Mechanical Engineering,Mechanical Engineering,201890,M
EG,Walter Scott College of Engr,Mechanical Engineering,Mechanical Engineering,201910,M
NS,Natural Sciences,Psychology,Psychology,201890,M
EG,Walter Scott College of Engr,Mechanical Engineering,Mechanical Engineering,201890,M
EG,Walter Scott College of Engr,Mechanical Engineering,Mechanical Engineering,201910,M
EG,Walter Scott College of Engr,Mechanical Engineering,Mechanical Engineering,201890,M
EG,Walter Scott College of Engr,Mechanical Engineering,Mechanical Engineering,201910,M
EG,Walter Scott College of Engr,Mechanical Engineering,Mechanical Engineering,201890,M
EG,Walter Scott College of Engr,Mechanical Engineering,Mechanical Engineering,201910,M
EG,Walter Scott College of Engr,Mechanical Engineering,Mechanical Engineering,201890,M
EG,Walter Scott College of Engr,Mechanical Engineering,Mechanical Engineering,201910,M
NS,Natural Sciences,Statistics,Statistics,201890,M
NS,Natural Sciences,Statistics,Statistics,201910,M
NS,Natural Sciences,Statistics,Statistics,201960,M
NS,Natural Sciences,Computer Science,Computer Science,201890,M
NS,Natural Sciences,Psychology,Psychology,201890,F
NS,Natural Sciences,Psychology,Psychology,201910,F
NS,Natural Sciences,Biology,Biological Science,201890,F
NS,Natural Sciences,Biology,Biological Science,201910,F
NS,Natural Sciences,Psychology,Psychology,201890,F
NS,Natural Sciences,Computer Science,Computer Science,201890,M
NS,Natural Sciences,Computer Science,Applied Computing Technology,201890,M
NS,Natural Sciences,Computer Science,Applied Computing Technology,201910,M
EG,Walter Scott College of Engr,Mechanical Engineering,Mechanical Engineering,201890,M
EG,Walter Scott College of Engr,Mechanical Engineering,Mechanical Engineering,201910,M
NS,Natural Sciences,Computer Science,Computer Science,201890,M
EG,Walter Scott College of Engr,Mechanical Engineering,Mechanical Engineering,201890,F
EG,Walter Scott College of Engr,Mechanical Engineering,Mechanical Engineering,201910,F
NS,Natural Sciences,Computer Science,Computer Science,201890,F
NS,Natural Sciences,Computer Science,Computer Science,201910,F
NS,Natural Sciences,Computer Science,Applied Computing Technology,201890,M
NS,Natural Sciences,Computer Science,Applied Computing Technology,201910,M
EG,Walter Scott College of Engr,Walter Scott College of Engr,Biomedical Engineering with ME,201890,F
EG,Walter Scott College of Engr,Walter Scott College of Engr,Biomedical Engineering with ME,201910,F
EG,Walter Scott College of Engr,Electrical and Computer Engr,Computer Engineering,201890,M
EG,Walter Scott College of Engr,Electrical and Computer Engr,Computer Engineering,201910,M
EG,Walter Scott College of Engr,Mechanical Engineering,Mechanical Engineering,201890,F
EG,Walter Scott College of Engr,Mechanical Engineering,Mechanical Engineering,201910,F
EG,Walter Scott College of Engr,Chemical and Biological Engr,Chemical & Biological Engineer,201890,F
EG,Walter Scott College of Engr,Chemical and Biological Engr,Chemical & Biological Engineer,201910,F
NS,Natural Sciences,Computer Science,Applied Computing Technology,201890,M
NS,Natural Sciences,Computer Science,Computer Science,201890,M
NS,Natural Sciences,Biology,Biological Science,201910,F
NS,Natural Sciences,Biology,Biological Science,201960,F
NS,Natural Sciences,Biochemistry & Molecular Biol,Biochemistry,201890,F
EG,Walter Scott College of Engr,Mechanical Engineering,Mechanical Engineering,201890,M
EG,Walter Scott College of Engr,Mechanical Engineering,Mechanical Engineering,201910,M
EG,Walter Scott College of Engr,Mechanical Engineering,Mechanical Engineering,201960,M
EG,Walter Scott College of Engr,Walter Scott College of Engr,Biomedical Engineering with CB,201890,M
EG,Walter Scott College of Engr,Walter Scott College of Engr,Biomedical Engineering with CB,201910,M
